Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC control, rep2","LEC control, rep3","LEC control, rep4","LEC control, rep5","LEC control, rep6","LEC KSHV 72h, rep1","LEC KSHV 72h, rep2","LEC KSHV 72h, rep3","LEC KSHV 72h, rep4","LEC KSHV 72h, rep5","LEC KSHV 72h, rep6"
51545,-0.39787,0.000027762,9.2170,9.1546,9.1848,9.1956,9.0772,9.1414,8.7187,8.8533,8.9299,8.5953,8.7147,8.7714
6143,-0.32336,0.000027906,13.537,13.473,13.548,13.552,13.442,13.366,13.095,13.154,13.203,13.182,13.170,13.173
3106,0.69928,0.000027906,11.928,11.921,11.878,11.656,11.591,11.379,12.452,12.615,12.526,12.185,12.294,12.477
10195,0.40390,0.000027983,8.8459,8.7554,8.6309,8.7561,8.8818,8.7678,9.2117,9.1361,9.0105,9.1667,9.2699,9.2664
81619,0.34938,0.000028577,10.209,10.385,10.378,10.305,10.220,10.275,10.642,10.631,10.722,10.683,10.529,10.661
654364///4831,-0.31442,0.000028736,12.534,12.512,12.491,12.591,12.549,12.502,12.201,12.204,12.109,12.224,12.320,12.233
102724984///90231,0.46144,0.000029977,9.5576,9.3730,9.5421,9.3739,9.3418,9.1598,9.8897,9.9080,9.9086,9.7389,9.7974,9.8743
55101,-0.37212,0.000030358,8.3395,8.4335,8.2048,8.2259,8.2636,8.1992,7.9865,7.9051,7.8219,7.9424,7.9507,7.8272
3151,-0.37764,0.000030358,12.252,12.261,12.333,12.394,12.338,12.456,11.990,11.855,11.851,12.003,12.066,12.003
3725,-0.61879,0.000030791,8.7031,8.6797,8.8352,9.0883,9.1765,8.9937,8.4242,8.1668,8.1363,8.4083,8.3177,8.3105
5358,0.30941,0.000030801,12.257,12.408,12.318,12.367,12.393,12.348,12.654,12.588,12.658,12.651,12.746,12.652
