Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC KSHV 72h, rep1","LEC control, rep2","LEC KSHV 72h, rep2","LEC control, rep3","LEC KSHV 72h, rep3","LEC control, rep4","LEC KSHV 72h, rep4","LEC control, rep5","LEC KSHV 72h, rep5","LEC control, rep6","LEC KSHV 72h, rep6"
58477,0.20251,0.0052103,8.3593,8.7125,8.4283,8.6285,8.3713,8.5195,8.4877,8.6832,8.5636,8.6998,8.5466,8.7285
29074,-0.29255,0.0052292,10.464,10.111,10.412,10.047,10.255,9.9496,10.584,10.284,10.551,10.397,10.506,10.227
58505,-0.16892,0.0052378,11.913,11.754,11.798,11.742,11.896,11.683,11.844,11.629,11.962,11.747,11.836,11.681
57787,0.22411,0.0052426,8.7288,8.8048,8.6002,8.8747,8.6961,8.9229,8.5728,8.7555,8.3979,8.7416,8.6441,8.8851
23396,0.19989,0.0052646,8.9316,9.0035,8.9846,9.1723,9.0887,9.2431,8.9690,9.1885,8.8926,9.1263,8.9133,9.2453
80829,-0.20512,0.0052730,8.6323,8.5872,8.6572,8.4354,8.8069,8.5527,8.6051,8.4792,8.6559,8.3306,8.7556,8.4972
54499,0.18100,0.0052758,9.1496,9.3709,9.1653,9.2738,9.1177,9.2827,8.9634,9.1900,9.0868,9.2572,9.0680,9.2623
5528,-0.18157,0.0052960,8.3835,8.2582,8.5033,8.2502,8.4035,8.2255,8.5508,8.3460,8.4499,8.3603,8.5623,8.3238
57175,0.21422,0.0053235,9.1257,9.2695,8.9615,9.3898,9.1815,9.3805,9.1684,9.1959,9.0724,9.2123,8.9523,9.2992
6281,-0.21246,0.0053669,9.2059,9.0139,9.1703,8.9250,9.1564,8.9624,9.1963,9.0268,9.2305,8.9974,9.4158,9.1749
29950,0.43300,0.0053862,8.7850,9.1851,8.5312,9.1807,8.6785,9.0519,9.1047,9.5788,9.0589,9.5229,9.1053,9.3422
9263,-0.20352,0.0054111,8.4600,8.0752,8.2141,8.2069,8.3596,8.2097,8.5115,8.1773,8.4149,8.1670,8.3353,8.2380
2923,0.15906,0.0054405,9.1726,9.1571,9.0577,9.2289,9.0786,9.2684,9.0671,9.2701,9.0302,9.2478,9.0481,9.2364
5306,0.21449,0.0054428,8.8498,8.9948,8.7150,9.0140,8.8506,9.0273,8.8183,8.9172,8.6934,8.9000,8.5504,8.9111
2217,-0.36108,0.0054459,9.3767,8.9914,9.2947,9.1266,9.4917,9.0161,9.1670,8.7262,9.0936,8.5953,9.0453,8.8469
10613,-0.28213,0.0055344,9.2927,9.2200,9.3057,9.0511,9.2643,8.9616,9.4420,9.1556,9.4705,9.2199,9.7042,9.1784
